1;1;01/05/2017 00:00;
2;7;01/05/2017 07:47;
3;7;02/05/2017 01:17;
4;8;02/05/2017 04:55;02/05/2017 05:25
5;10;02/05/2017 13:52;
6;9;02/05/2017 14:08;
7;10;02/05/2017 23:15;
8;7;03/05/2017 01:04;
9;11;03/05/2017 19:52;
10;11;03/05/2017 20:55;
11;7;04/05/2017 10:00;
12;8;04/05/2017 16:26;
13;8;05/05/2017 08:25;
14;7;05/05/2017 13:00;
15;10;05/05/2017 14:27;
16;7;05/05/2017 14:47;
17;9;06/05/2017 09:46;
18;9;06/05/2017 23:40;
19;7;07/05/2017 04:09;
20;8;07/05/2017 06:03;
21;13;07/05/2017 06:49;
22;11;07/05/2017 09:36;
23;13;08/05/2017 01:10;
24;7;08/05/2017 05:31;
25;7;08/05/2017 07:16;
26;13;08/05/2017 09:03;
27;10;08/05/2017 13:27;08/05/2017 14:12
28;14;08/05/2017 14:38;
29;13;08/05/2017 15:49;
30;11;08/05/2017 16:10;
31;13;08/05/2017 16:22;
32;14;08/05/2017 17:24;
33;11;08/05/2017 17:55;
34;7;08/05/2017 19:24;
35;14;09/05/2017 01:15;
36;10;09/05/2017 14:06;
37;13;09/05/2017 16:35;
38;13;09/05/2017 18:56;
39;13;09/05/2017 20:07;
40;10;09/05/2017 21:00;
41;14;09/05/2017 21:48;
42;14;10/05/2017 02:17;
43;10;10/05/2017 05:22;
44;14;10/05/2017 19:34;
45;13;10/05/2017 19:41;
46;13;11/05/2017 00:37;
47;13;11/05/2017 04:35;
48;8;11/05/2017 07:28;
49;9;11/05/2017 09:59;
50;10;11/05/2017 16:10;
51;11;11/05/2017 23:40;
52;10;12/05/2017 19:19;
53;7;13/05/2017 03:24;
54;11;13/05/2017 18:16;
55;10;13/05/2017 20:48;
56;10;13/05/2017 22:12;
57;14;14/05/2017 08:20;
58;10;14/05/2017 09:26;
59;14;14/05/2017 10:49;
60;10;14/05/2017 15:19;
61;9;14/05/2017 17:10;14/05/2013 17:20
62;8;14/05/2017 17:14;
63;8;14/05/2017 21:28;
64;10;14/05/2017 22:04;
65;13;15/05/2017 03:34;
66;8;15/05/2017 05:33;
67;7;15/05/2017 10:48;
68;14;15/05/2017 12:48;
69;7;15/05/2017 18:41;
